College,Branch,Category,Gender,Region,Technical/Non Technical,Round,Cutoff %
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,M,Home District,Non Technical,1,77.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,SC,M,Home District,Non Technical,1,67.33
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,NTB,M,Home District,Non Technical,1,72.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,NTD,M,Home District,Non Technical,1,69.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OBC,M,Home District,Non Technical,1,74
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,F,Home District,Non Technical,1,79.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,SC,F,Home District,Non Technical,1,72.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,NTC,F,Home District,Non Technical,1,75.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OBC,F,Home District,Non Technical,2,73.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,M,Home District,Technical,1,86.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,M,Other Than Home District,Non Technical,1,54.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,M,Other Than Home District,Non Technical,1,73.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,SC,M,Other Than Home District,Non Technical,1,64.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,NTA,M,Other Than Home District,Non Technical,1,72
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OBC,M,Other Than Home District,Non Technical,1,73.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,F,Other Than Home District,Non Technical,1,71.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OBC,F,Other Than Home District,Non Technical,1,69.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,EWS,G,State Level,Non Technical,1,77.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OPEN,M,Home District,Non Technical,1,79.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,SC,M,Home District,Non Technical,1,65.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,NTB,M,Home District,Non Technical,1,63.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,NTD,M,Home District,Non Technical,1,74.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OBC,M,Home District,Non Technical,1,75.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OPEN,F,Home District,Non Technical,1,78.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,SC,F,Home District,Non Technical,1,70.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OBC,F,Home District,Non Technical,1,77
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OPEN,M,Home District,Technical,1,60
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,SC,M,Home District,Technical,1,76.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,NTC,M,Home District,Technical,1,54.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OBC,F,Home District,Technical,1,81
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OPEN,M,Other Than Home District,Non Technical,1,60.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,SC,M,Other Than Home District,Non Technical,1,61
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,NTB,M,Other Than Home District,Non Technical,1,62.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OBC,M,Other Than Home District,Non Technical,1,73.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OPEN,F,Other Than Home District,Non Technical,1,75
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,SC,F,Other Than Home District,Non Technical,1,60.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OBC,F,Other Than Home District,Non Technical,1,74.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OBC,M,Other Than Home District,Technical,1,67.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OPEN,F,Other Than Home District,Technical,1,83
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,EWS,G,State Level,Non Technical,1,80
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OPEN,M,Home District,Non Technical,1,86
